Date,lag_01,lag_02,lag_03,x_01,x_02,y_01,y_02,y_03,y_04,y_05,y_06,y_07
7/9/2015,-0.334926768,-0.525568076,-1.533031303,0.823089588,-0.357529743,-0.855414208,-0.126027528,-0.225132021,-0.578569552,-0.035357313,-0.390221798,-3.472175948
7/10/2015,-0.174838851,-0.206951627,-0.945746419,1.089376315,-0.307493518,-0.680727919,-0.10295197,-0.158114824,-0.302466073,-0.025166032,-0.212069972,-1.840545953
7/13/2015,-0.042647333,-0.017388421,-0.750103573,0.74422383,-0.095887797,-0.323811365,-0.039753416,-0.022592762,-0.080094643,-0.026014529,-0.009536774,-1.407699346
7/14/2015,-0.085041588,-0.039504633,-0.414514836,1.000262315,-0.071829104,-0.403280592,-0.044871531,-0.026767957,-0.055715779,-0.027024091,-0.015488774,-0.883426901
7/15/2015,-0.215693426,-0.237042002,-0.649695662,0.652769488,-0.26843004,-0.537894867,-0.109762232,-0.20196243,-0.24198597,-0.029433204,-0.210297782,-1.745263869
7/16/2015,-0.146117643,-0.156169384,-0.23489221,0.341760898,-0.225450292,-0.413281144,-0.154889899,-0.366748799,-0.309578875,-0.03441436,-0.148971567,-1.298037499
7/17/2015,-0.226914746,-0.298361389,-1.516155562,0.267251976,-0.441778889,-0.60648863,-0.129173341,-0.329836833,-0.362512085,-0.03256921,-0.343724482,-2.15425403
7/20/2015,-0.065404372,-0.027563746,-0.867614473,0.050183855,-0.242989994,-0.497744955,-0.062728358,-0.21727647,-0.106649158,-0.029554098,-0.194345285,-1.545371988
7/21/2015,-0.163863903,-0.16052127,-0.547024098,-0.194366777,-0.305397487,-0.537619966,-0.097648544,-0.308225441,-0.278701083,-0.030562254,-0.295807901,-1.361577243
7/22/2015,-0.111527273,-0.057672127,-0.052455975,0.152375908,-0.244742714,-0.524247706,-0.063862304,-0.209232134,-0.16272455,-0.029227176,-0.173507965,-0.86509671
7/23/2015,-0.135213871,-0.140591126,-0.732701219,-0.421531397,-0.284174492,-0.521472647,-0.06709991,-0.236167796,-0.219305909,-0.034236074,-0.238400094,-1.28928278
7/24/2015,-0.067718885,-0.012507996,-0.162263931,-0.547963851,-0.219380647,-0.27873728,-0.049350255,-0.149810901,-0.132759608,-0.028330684,6.06E-05,-1.06164201
7/27/2015,-0.198535414,-0.209566687,-0.313530366,-0.121305307,-0.240939916,-0.369721984,-0.103376324,-0.242374844,-0.261742777,-0.029734245,-0.185901164,-1.61728679
7/28/2015,-0.191811453,-0.20661421,-0.714331326,0.344803268,-0.352486985,-0.47670231,-0.091185555,-0.233560545,-0.256290361,-0.032024265,-0.20441508,-1.766007328
7/29/2015,-0.203098106,-0.170899311,-0.192060384,0.300946333,-0.258271771,-0.383965365,-0.135285936,-0.292885811,-0.273483858,-0.038831108,-0.25820857,-0.903688893
7/30/2015,0.029165483,0.130796047,0.179551775,-0.037267253,-0.074160405,-0.082729412,-0.045029308,-0.078409787,0.006427622,-0.032783112,0.052617817,-0.66435448
7/31/2015,-0.128866259,-0.066080825,1.220570518,-0.593349002,-0.045146389,-0.062140753,-0.057510446,-0.061108833,-0.112306701,-0.034092996,-0.109609925,1.152496941
8/3/2015,-0.373545017,-0.464037477,0.25699948,0.454135592,-0.399663484,-0.533011587,-0.155315678,-0.332909512,-0.526973074,-0.040203829,-0.388515679,-0.176294333
8/4/2015,-0.205598556,-0.328090068,-0.58682796,0.979834064,-0.397260334,-0.524586514,-0.126170784,-0.341985495,-0.413001428,-0.036755504,-0.353431934,-2.785868658
8/5/2015,-0.068917141,-0.067500251,-0.021659146,0.513591003,-0.168866693,-0.169406551,-0.073796108,-0.23192455,-0.117647558,-0.028123531,-0.120663532,-1.593039041
8/6/2015,-0.16043915,-0.105100094,0.955722242,0.397204152,-0.180031487,-0.17615484,-0.120080282,-0.283952647,-0.151077743,-0.045170754,-0.14671512,-0.570374449
8/7/2015,-0.191463943,-0.299657202,-0.78016935,0.596527706,-0.411961912,-0.521992665,-0.116690131,-0.320981933,-0.383692339,-0.035568498,-0.255489685,-2.718151141
8/10/2015,0.043481319,0.170164558,0.790931568,0.295261662,-0.004772102,-0.082239346,-0.021734882,-0.112187551,0.095790023,-0.031811677,0.091950203,0.022648686
8/11/2015,-0.139246037,-0.185518617,-0.132372663,0.083703322,-0.228805323,-0.230666206,-0.0789461,-0.173312133,-0.462503479,-0.033316485,-0.072003843,-1.274046846
8/12/2015,-0.305849998,-0.4112509,-0.237421665,0.825233587,-0.452973343,-0.47140111,-0.168898877,-0.255780438,-0.446300759,-0.034292259,-0.344571557,-1.406247361
8/13/2015,-0.197189135,-0.216263061,0.169304977,0.586894968,-0.323997813,-0.468837979,-0.190016441,-0.216052613,-0.286447452,-0.036570962,-0.227318785,-1.254631079
8/14/2015,-0.086019387,-0.028571907,0.252367131,0.649181667,-0.218316393,-0.391557324,-0.110187196,-0.120878437,-0.075513377,-0.034751257,-0.089988859,-1.322136946
8/17/2015,-0.20963994,-0.287671832,-0.907539728,0.48768771,-0.288207982,-0.450450441,-0.121294664,-0.192429904,-0.358514485,-0.033169378,-0.257482195,-2.656693964
8/18/2015,0.049997084,0.139055196,0.212151405,0.336767617,0.067775055,-0.058187251,-0.055646136,0.005062649,-0.022112961,-0.030528198,0.094027881,-0.47764644
8/19/2015,-0.17286214,-0.147572134,0.924464295,0.078923321,-0.089250619,-0.115867843,-0.130824785,-0.081683585,-0.215782136,-0.027140027,-0.015509665,0.397411385
8/20/2015,-0.019135181,0.020651,0.546092768,-0.077644144,-0.058326865,-0.124945526,-0.057363951,0.08610463,-0.128750216,-0.031374095,0.124455411,-0.342435894
8/21/2015,-0.058409633,-0.036671882,0.316595769,-0.94082856,-0.019405039,-0.029011991,-0.041410367,0.1870552,-0.070766634,-0.027958664,0.230328833,0.558444303
8/24/2015,-0.389032743,-0.604750093,-1.313277136,0.214945941,-0.35086279,-0.514933887,-0.177254409,-0.134308302,-0.704233885,-0.034213942,-0.359513981,-2.25033714
8/25/2015,-0.107682354,-0.152521338,-1.278180417,-0.381380889,-0.122431832,-0.323763201,-0.094861841,0.027485617,-0.188431526,-0.031020594,-0.035147579,-2.283006327
8/26/2015,-0.131371608,-0.093739281,0.258166956,0.217853302,-0.172750265,-0.208794642,-0.195777372,-0.084226442,-0.257957198,-0.032020748,-0.073211521,-0.248157725
8/27/2015,-0.274888523,-0.31128704,-0.380276273,-0.039888228,-0.207345903,-0.260921429,-0.187596081,-0.204729939,-0.362494165,-0.040727337,-0.125904019,-0.982105666
8/28/2015,-0.188841879,-0.200954675,-0.461041106,-0.112146803,-0.290354514,-0.418756272,-0.147861969,-0.055208162,-0.306779255,-0.037342259,-0.093031556,-1.635602526
8/31/2015,-0.115967305,-0.129241956,-0.397349023,-0.276255689,-0.189902918,-0.328208401,-0.035177479,0.074931987,-0.05352266,-0.030436853,-0.034736468,-0.977604919
9/1/2015,-0.158530863,-0.229511958,-0.77642051,1.256554472,-0.289707387,-0.492616385,-0.082929711,-0.210831725,-0.354281035,-0.031276051,-0.231599721,-0.297516383
9/2/2015,-0.046058645,-0.013158484,-0.790810208,1.220978893,-0.161908822,-0.338891905,-0.071739476,-0.196743969,-0.207439267,-0.035110862,-0.087088343,0.081199276
